Model,MAE_Mean,MAE_SD,RMSE_Mean,RMSE_SD,R2_Mean,R2_SD
Linear Regression,2.4105432255599837,0.0780735904902283,3.095609991759442,0.1117345121804528,0.5491150346633537,0.0406533253677448
Random Forest,2.2230538890670344,0.1134633415217592,2.8832004002930134,0.1647527121812697,0.6097973733341083,0.0296549596496505
XGBoost,2.1970689529589302,0.0957635665082698,2.819254318654252,0.1496529018728411,0.6266170866953388,0.0311321049765021
Stacking Ensemble,2.1817424262247114,0.0915644198641111,2.802685731838994,0.1437607417177296,0.6308950460870856,0.0314664013288104
