Compared_To,MAE_Reduction,MAE_Reduction_Pct,RMSE_Reduction,RMSE_Reduction_Pct,R2_Increase
Linear Regression,0.2288007993352723,9.49166963318488,0.292924259920448,9.462569919990456,0.08178001142373192
Random Forest,0.04131146284232301,1.8583203513640643,0.08051466845401922,2.7925449942999694,0.021097672752977248
XGBoost,0.01532652673421886,0.6975897007500682,0.016568586815257635,0.5876939411115815,0.0042779593917467995
