fold,MAE,RMSE,R2
1,2.295381180223285,2.962913319642159,0.6055103166633387
2,2.3576044016424205,3.0442773122798545,0.6032447819956152
3,2.240064918276605,2.98193296158588,0.5948049820461356
4,2.0736384029281085,2.6467756555045634,0.6607786809461929
5,2.1485805422647526,2.78010275245261,0.5846481050192597
