fold,MAE,RMSE,R2
1,2.4749351302146225,3.179831700983932,0.5456337898235246
2,2.455851474738245,3.092365276567006,0.5906113470824332
3,2.4488448916622167,3.2092551975610557,0.5306715815386581
4,2.282860380450187,2.924202848656411,0.5859394378757669
5,2.390224250734647,3.0723949350288096,0.49271901699638543
