fold,MAE,RMSE,R2
1,2.3129667425079594,2.947242806931796,0.6096721043128
2,2.241403124016818,2.879206122102629,0.6451051156724947
3,2.233055380010529,2.938072973645877,0.6066370047871736
4,2.079737693993479,2.600912187491486,0.6724329156538573
5,2.1181818242658648,2.7308375030994734,0.5992382930503685
