Outer_Fold,MAE,RMSE,R2
1,2.2820375855903112,2.916613252733594,0.6177430000016731
2,2.2334391087755754,2.860287505628317,0.6497536621355683
3,2.2201956557661675,2.92091088119285,0.6112190659722521
4,2.062115050014863,2.585644965642665,0.6762672330507699
5,2.1109247309766417,2.729972053997544,0.5994922692751647
