Outer_Fold,LR_Coefficient,RF_Coefficient,XGB_Coefficient,Intercept
1,0.12738026793222218,0.2185135967159865,0.7009490164661019,-1.7894621954421979
2,0.19386071025728638,0.07918504918691088,0.7703733650720758,-1.6617458377092262
3,0.17911597534864607,0.08524919097347887,0.7588724166263642,-0.8739036347454885
4,0.1384791930089006,0.22035909210538795,0.6845500882972549,-1.693361654918121
5,0.18454546006326616,0.2507866774337177,0.6075945830094999,-1.6213033758014106
